Vaujany_Enversin telecabine Enversin_d'oz Vaujany 12
canyon rouge Plat_des_marmottes altiport 18

olympique rouge Plat_des_marmottes altiport 19

vachette bleu Plat_des_marmottes vachette_novat 5

pierre_novat vert vachette_novat troncon_2100 8

les_bergers vert troncon_2100 Alpe_d'huez 20

agneaux vert vachette_novat Alpe_d'huez 17

Romains telesiege Alpe_d'huez vachette_novat 35

Marmottes1 telesiege Alpe_d'huez Plat_des_marmottes 40

1er_troncon telepherique Alpe_d'huez troncon_2100 17

Grande_sure telesiege Alpe_d'huez Signal_s 40

signal bleu Signal_s Alpe_d'huez 16

souveraine rouge Signal_s Petit_prince_b 15

petit_prince bleu Signal_s Petit_prince_b 14

les_vallons1 bleu Signal_s vallons_foret 4

les_vallons2 bleu vallons_foret Petit_prince_b 10

la_foret noir vallons_foret Villard_Reculas 16

Petit_prince_telesiege telesiege Petit_prince_b Signal_s 30

villard rouge Petit_prince_b Villard_Reculas 10

chemin_du_patre bleu Petit_prince_b Villard_Reculas 23

Tsd_le_villarais telesiege Villard_Reculas Signal_s 45

huez rouge Alpe_d'huez huez_village 6

village1 bleu Alpe_d'huez huez_village 16

village2 bleu huez_village Huez 6

Télévillage telecabine Huez Alpe_d'huez 24

Alpe_d'huez_telesiege telesiege Alpe_d'huez_auris Alpe_d'huez 15

Alpauris telesiege Alpe_d'huez_auris Alpauris_s 12

Frontfroide telesiege Alpauris_s Signal_de_l'homme 50

Louvet telesiege Alpauris_s Auris_s 25

Maronne_telesiege telesiege Maronne Maronne_s 35

Sures telesiege Auris_en_oisans Maronne_s 22

corniche vert Maronne_s Auris_en_oisans 12

gentianes vert Maronne_s Col_s 3

Col teleski Auris_en_oisans Col_s 9

le_gua1 vert Auris_s Chalvet_b 13

le_gua2 vert Chalvet_b Alpe_d'huez_auris 8

col1 bleu Auris_s Col_s 10

col2 bleu Col_s Auris_en_oisans 6

eterlous vert Auris_s Alpauris_s 12

Auris_Express telesiege Auris_en_oisans Auris_s 35

pré_rond bleu Signal_de_l'homme Auris_s 20

vernettes rouge Signal_de_l'homme Alpauris_s 20

bergeries noir Signal_de_l'homme Chalvet_s 20

frontfroide1 rouge Signal_de_l'homme frontfroide_escapade 9

frontfroide2 rouge frontfroide_escapade Auris_s 4

frontfroide3 rouge Auris_s Alpauris_s 12

escapade rouge frontfroide_escapade Col_s 8

maronne rouge frontfroide_escapade farcis_maronne 18

les_farcis1 bleu Col_s farcis_maronne 12

les_farcis2 bleu farcis_maronne Maronne 8

la_fuma noir Maronne_s Maronne 14
